,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
17,p10,1,0.0,117.873225,[618 104] ; [122 115],[557.12200209 164.87799791] ; [182.87799791  54.12200209],1
16,p9,1,0.0,93.10153,[631  91] ; [137  97],[580.0167364 141.9832636] ; [187.9832636  46.0167364],1
5,r3,1,0.0,69.579685,[701  28] ; [192  50],[670.43975283  58.56024717] ; [222.56024717  19.43975283],1
11,p2,1,0.0,65.265579,[620 105] ; [149  94],[575.95557851 149.04442149] ; [193.04442149  49.95557851],1
9,n6,1,0.0,51.501199,[624 103] ; [156  85],[585.80578512 141.19421488] ; [194.19421488  46.80578512],1
15,p8,1,0.0,49.925994,[401 316] ; [ 71 169],[353.63009404 363.36990596] ; [118.36990596 121.63009404],1
6,r4,1,0.0,46.095204,[656  78] ; [175  70],[623.03779367 110.96220633] ; [207.96220633  37.03779367],1
3,v4,1,0.0,34.627923,[692  35] ; [203  40],[670.78865979  56.21134021] ; [224.21134021  18.78865979],1
14,p7,1,0.0,33.58158,[469 240] ; [107 131],[431.23970433 277.76029567] ; [144.76029567  93.23970433],1
7,n4,1,0.0,26.574267,[574 158] ; [150  93],[543.55692308 188.44307692] ; [180.44307692  62.55692308],1
13,p4,1,0.0,25.501217,[439 286] ; [101 140],[405.27950311 319.72049689] ; [134.72049689 106.27950311],1
0,b1,1,1e-06,24.324838,[256 478] ; [129 116],[288.65168539 445.34831461] ; [ 96.34831461 148.65168539],1
8,n5,1,1e-06,24.300688,[554 172] ; [145  97],[524.25 201.75] ; [174.75  67.25],1
12,p3,1,0.000127,14.690221,[365 363] ; [ 87 155],[339.23298969 388.76701031] ; [112.76701031 129.23298969],1
2,v2,1,0.000136,14.550192,[404 301] ; [101 134],[378.75 326.25] ; [126.25 108.75],1
1,v1,1,0.000309,13.013291,[386 327] ; [ 99 144],[361.7207113 351.2792887] ; [123.2792887 119.7207113],1
10,s8,1,0.000702,11.4852,[317 410] ; [ 76 167],[294.54742268 432.45257732] ; [ 98.45257732 144.54742268],1
4,r1,1,0.000828,11.17689,[579 152] ; [167  76],[559.88295688 171.11704312] ; [186.11704312  56.88295688],1
