,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p7,1,9e-05,15.326856,[2 6] ; [65 12],[6.30588235 1.69411765] ; [60.69411765 16.30588235],1
0,p2,1,0.000966,10.892337,[6 4] ; [73  5],[8.97727273 1.02272727] ; [70.02272727  7.97727273],1
