,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p6,1,5e-06,20.927368,[117 111] ; [11 49],[101.33333333 126.66666667] ; [26.66666667 33.33333333],1
0,p3,1,1e-05,19.490267,[156  74] ; [22 38],[141.17241379  88.82758621] ; [36.82758621 23.17241379],1
1,p4,1,0.000149,14.389931,[176  54] ; [31 29],[164.17241379  65.82758621] ; [42.82758621 17.17241379],1
