,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p8,1,1e-06,23.339204,[24 26] ; [12 87],[12.08053691 37.91946309] ; [23.91946309 75.08053691],1
1,p6,1,4e-06,21.194835,[20 31] ; [ 8 90],[ 9.58389262 41.41610738] ; [18.41610738 79.58389262],1
0,p2,1,5.3e-05,16.351643,[40 12] ; [42 57],[28.2384106 23.7615894] ; [53.7615894 45.2384106],1
