,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
11,p10,1,0.0,71.029656,[469 113] ; [122 115],[419.97802198 162.02197802] ; [171.02197802  65.97802198],1
10,p9,1,0.0,70.364496,[497  84] ; [137  97],[451.96809816 129.03190184] ; [182.03190184  51.96809816],1
2,r3,1,0.0,46.228945,[558  31] ; [192  50],[531.58844765  57.41155235] ; [218.41155235  23.58844765],1
5,n6,1,0.0,42.175042,[497  88] ; [156  85],[462.47578692 122.52421308] ; [190.52421308  50.47578692],1
6,p2,1,0.0,41.937945,[485 104] ; [149  94],[448.82932692 140.17067308] ; [185.17067308  57.82932692],1
3,r4,1,0.0,34.263134,[523  71] ; [175  70],[494.17401669  99.82598331] ; [203.82598331  41.17401669],1
9,p8,1,0.0,30.870871,[295 286] ; [ 71 169],[259.00852619 321.99147381] ; [106.99147381 133.00852619],1
1,v4,1,2e-06,23.125176,[553  35] ; [203  40],[534.93140794  53.06859206] ; [221.06859206  21.93140794],1
8,p7,1,0.000173,14.103962,[339 232] ; [107 131],[314.79110012 256.20889988] ; [131.20889988 106.79110012],1
0,v2,1,0.000239,13.497936,[326 244] ; [101 134],[302.34782609 267.65217391] ; [124.65217391 110.34782609],1
7,p4,1,0.000506,12.09451,[323 262] ; [101 140],[300.2905569 284.7094431] ; [123.7094431 117.2905569],1
4,n4,1,0.000698,11.49552,[434 156] ; [150  93],[413.63745498 176.36254502] ; [170.36254502  72.63745498],1
