,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p10,1,0.0,166.892007,[526  35] ; [23 38],[495.15916399  65.84083601] ; [53.84083601  7.15916399],1
0,p3,1,2.6e-05,17.660387,[316 247] ; [17 44],[300.44711538 262.55288462] ; [32.55288462 28.44711538],1
