,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p7,1,0.0,45.374379,[ 94 189] ; [87 39],[125.2396088 157.7603912] ; [55.7603912 70.2396088],1
0,p2,1,0.0,26.266455,[169 120] ; [110  21],[191.97857143  97.02142857] ; [87.02142857 43.97857143],1
2,p9,1,0.000167,14.172677,[189  94] ; [110  20],[204.88377724  78.11622276] ; [94.11622276 35.88377724],1
3,p10,1,0.000169,14.146483,[176 111] ; [104  26],[192.70983213  94.29016787] ; [87.29016787 42.70983213],1
4,p11,1,0.000688,11.521341,[180 110] ; [104  28],[195.16587678  94.83412322] ; [88.83412322 43.16587678],1
