,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p4,1,9e-06,19.764463,[13 63] ; [46 46],[26.69047619 49.30952381] ; [32.30952381 59.69047619],1
2,p9,1,9e-06,19.628831,[26 45] ; [65 26],[39.88271605 31.11728395] ; [51.11728395 39.88271605],1
1,p7,1,0.000515,12.059296,[17 59] ; [44 47],[27.76047904 48.23952096] ; [33.23952096 57.76047904],1
