,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
10,p9,1,0.0,70.20307,[497  84] ; [66 60],[462.66336634 118.33663366] ; [100.33663366  25.66336634],1
11,p10,1,0.0,62.770235,[469 113] ; [60 68],[433.63098592 148.36901408] ; [95.36901408 32.63098592],1
5,r3,1,0.0,52.54711,[558  31] ; [98 33],[536.64444444  52.35555556] ; [119.35555556  11.64444444],1
6,r4,1,0.0,37.033307,[523  71] ; [88 44],[499.90909091  94.09090909] ; [111.09090909  20.90909091],1
7,n6,1,0.0,33.059478,[497  88] ; [82 48],[473.72727273 111.27272727] ; [105.27272727  24.72727273],1
8,p2,1,0.0,31.292174,[485 104] ; [78 52],[461.20584145 127.79415855] ; [101.79415855  28.20584145],1
9,p8,1,0.0,30.402722,[295 286] ; [31 98],[266.76901408 314.23098592] ; [59.23098592 69.76901408],1
3,v4,1,3e-06,21.756882,[553  35] ; [107  24],[539.74965229  48.25034771] ; [120.25034771  10.74965229],1
4,r2,1,3.2e-05,17.297394,[551  32] ; [110  21],[539.72408964  43.27591036] ; [121.27591036   9.72408964],1
1,a6,1,3.8e-05,16.99045,[410 182] ; [66 65],[389.7538036 202.2461964] ; [86.2461964 44.7538036],1
2,v2,1,5.7e-05,16.18456,[326 244] ; [49 81],[305.35714286 264.64285714] ; [69.64285714 60.35714286],1
0,a1,1,0.000457,12.282525,[ 18 576] ; [ 13 119],[ 25.36363636 568.63636364] ; [  5.63636364 126.36363636],1
