,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,b2,1,0.000365,12.703659,[170 288] ; [13  3],[176.82278481 281.17721519] ; [6.17721519 9.82278481],1
1,b3,1,0.000365,12.703659,[170 288] ; [13  3],[176.82278481 281.17721519] ; [6.17721519 9.82278481],1
2,a2,1,0.000829,11.176068,[156 578] ; [9 7],[161.48 572.52] ; [ 3.52 12.48],1
