,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p8,1,0.0,71.215799,[268  73] ; [35 67],[233.23476298 107.76523702] ; [69.76523702 32.23476298],1
1,p6,1,0.0,35.362077,[198 143] ; [25 77],[171.65462754 169.34537246] ; [51.34537246 50.65462754],1
0,p2,1,0.000392,12.571112,[319  21] ; [85 18],[310.06772009  29.93227991] ; [93.93227991  9.06772009],1
