,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p7,1,0.0,41.206554,[398 153] ; [27 49],[373.48484848 177.51515152] ; [51.51515152 24.48484848],1
2,p8,1,0.0,26.347305,[348 207] ; [26 54],[326.88188976 228.11811024] ; [47.11811024 32.88188976],1
0,p4,1,1.4e-05,18.934519,[373 189] ; [32 46],[355.640625 206.359375] ; [49.359375 28.640625],1
