,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p7,1,3e-06,21.690034,[25  4] ; [50 80],[13.67924528 15.32075472] ; [61.32075472 68.67924528],1
0,p1,1,0.000159,14.26307,[ 5 24] ; [  2 131],[ 1.25308642 27.74691358] ; [  5.74691358 127.25308642],1
