,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,b2,1,0.000165,14.197198,[12  1] ; [157 236],[5.41133005 7.58866995] ; [163.58866995 229.41133005],1
1,b3,1,0.000165,14.197198,[12  1] ; [157 236],[5.41133005 7.58866995] ; [163.58866995 229.41133005],1
