,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p8,1,0.0,45.683599,[31 58] ; [176  58],[57.0371517 31.9628483] ; [149.9628483  84.0371517],1
1,p6,1,1e-06,24.769908,[21 68] ; [128 107],[40.92901235 48.07098765] ; [108.07098765 126.92901235],1
0,p2,1,4e-06,21.338251,[70 20] ; [222  12],[81.11111111  8.88888889] ; [210.88888889  23.11111111],1
