,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p12,1,0.0,38.513591,[ 16 261] ; [22 47],[ 30.42196532 246.57803468] ; [ 7.57803468 61.42196532],1
0,p1,1,0.0,30.029507,[ 19 258] ; [21 48],[ 32.02312139 244.97687861] ; [ 7.97687861 61.02312139],1
1,p6,1,9.4e-05,15.248644,[138 137] ; [52 16],[152.33236152 122.66763848] ; [37.66763848 30.33236152],1
