,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p1,1,0.0,48.882279,[ 27 380] ; [26 51],[ 44.56818182 362.43181818] ; [ 8.43181818 68.56818182],1
3,p12,1,0.0,33.736265,[ 25 383] ; [21 56],[ 38.69690722 369.30309278] ; [ 7.30309278 69.69690722],1
2,p8,1,0.000131,14.630026,[255 150] ; [65 11],[269.43866944 135.56133056] ; [50.56133056 25.43866944],1
1,p6,1,0.00039,12.581437,[191 215] ; [52 23],[205.11018711 200.88981289] ; [37.88981289 37.11018711],1
