,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p10,1,1.5e-05,18.79131,[740 219] ; [632 107],[774.88103651 184.11896349] ; [597.11896349 141.88103651],1
1,p9,1,5.2e-05,16.380868,[768 188] ; [648  91],[798.64070796 157.35929204] ; [617.35929204 121.64070796],1
0,r3,1,0.000267,13.290618,[893  78] ; [717  28],[911.01981352  59.98018648] ; [698.98018648  46.01981352],1
