,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
8,s8,1,1e-06,23.867208,[13  3] ; [25 89],[ 4.67692308 11.32307692] ; [33.32307692 80.67692308],1
9,p5,1,2e-05,18.168129,[ 5 10] ; [  4 110],[ 1.04651163 13.95348837] ; [  7.95348837 106.04651163],1
10,p12,1,3.6e-05,17.054284,[ 4 12] ; [  2 111],[ 0.74418605 15.25581395] ; [  5.25581395 107.74418605],1
0,b2,1,0.000461,12.26664,[13  3] ; [26 51],[6.70967742 9.29032258] ; [32.29032258 44.70967742],1
1,b3,1,0.000461,12.26664,[13  3] ; [26 51],[6.70967742 9.29032258] ; [32.29032258 44.70967742],1
3,d1,1,0.000499,12.119378,[15  1] ; [54 60],[8.49230769 7.50769231] ; [60.50769231 53.49230769],1
6,s2,1,0.000684,11.53244,[12  4] ; [35 77],[ 5.875 10.125] ; [41.125 70.875],1
7,s7,1,0.000761,11.334634,[12  4] ; [35 76],[ 5.92125984 10.07874016] ; [41.07874016 69.92125984],1
2,a2,1,0.000771,11.310855,[9 7] ; [21 93],[ 3.69230769 12.30769231] ; [26.30769231 87.69230769],1
5,v3,1,0.000838,11.155329,[9 3] ; [30 79],[3.8677686 8.1322314] ; [35.1322314 73.8677686],1
4,v1,1,0.00098,10.864166,[11  2] ; [41 70],[5.4516129 7.5483871] ; [46.5483871 64.4516129],1
