,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p6,1,1.1e-05,19.357327,[17 49] ; [185 149],[33.33 32.67] ; [168.67 165.33],1
0,p2,1,0.000399,12.537922,[55 15] ; [308  25],[63.05210918  6.94789082] ; [299.94789082  33.05210918],1
3,p8,1,0.000477,12.202953,[35 35] ; [238  95],[47.41935484 22.58064516] ; [225.58064516 107.41935484],1
1,p5,1,0.000504,12.100385,[ 3 67] ; [ 74 258],[13.4079602 56.5920398] ; [ 63.5920398 268.4079602],1
