,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
26,p9,1,0.0,336.521345,[586  31] ; [30 82],[521.36076818  95.63923182] ; [94.63923182 17.36076818],1
20,p2,1,0.0,99.927617,[538  77] ; [55 60],[499.58219178 115.41780822] ; [93.41780822 21.58219178],1
9,r3,1,0.0,92.239806,[596  19] ; [82 32],[571.97530864  43.02469136] ; [106.02469136   7.97530864],1
10,r4,1,0.0,81.957243,[565  53] ; [69 46],[534.53206003  83.46793997] ; [99.46793997 15.53206003],1
13,n6,1,0.0,76.844772,[540  74] ; [61 52],[507.58459422 106.41540578] ; [93.41540578 19.58459422],1
6,v4,1,0.0,68.747619,[589  23] ; [84 29],[568.10482759  43.89517241] ; [104.89517241   8.10482759],1
25,p8,1,0.0,49.93762,[360 249] ; [26 87],[325.58725762 283.41274238] ; [60.41274238 52.58725762],1
24,p7,1,0.0,44.877395,[414 187] ; [41 73],[382.45454545 218.54545455] ; [72.54545455 41.45454545],1
19,s8,1,0.0,36.139588,[284 330] ; [18 95],[255.05914718 358.94085282] ; [46.94085282 66.05914718],1
12,n5,1,0.0,33.588952,[492 122] ; [62 51],[467.88995873 146.11004127] ; [86.11004127 26.88995873],1
22,p4,1,0.0,31.958148,[395 220] ; [41 73],[367.81893004 247.18106996] ; [68.18106996 45.81893004],1
17,s6,1,0.0,26.516557,[415 190] ; [49 64],[390.97493036 214.02506964] ; [73.02506964 39.97493036],1
7,r1,1,0.0,26.328873,[495 120] ; [66 47],[473.9217033 141.0782967] ; [87.0782967 25.9217033],1
11,n4,1,0.0,25.664719,[496 122] ; [66 47],[475.124487 142.875513] ; [86.875513 26.124487],1
5,v2,1,1e-06,23.492699,[348 244] ; [38 74],[324.59090909 267.40909091] ; [61.40909091 50.59090909],1
8,r2,1,2e-06,22.460431,[576  35] ; [91 21],[563.67496542  47.32503458] ; [103.32503458   8.67496542],1
4,v1,1,2e-06,22.215605,[339 261] ; [37 77],[315.96638655 284.03361345] ; [60.03361345 53.96638655],1
23,p6,1,5e-06,20.733599,[229 380] ; [17 94],[208.075 400.925] ; [37.925 73.075],1
0,b1,1,5e-06,20.6852,[211 407] ; [65 50],[232.69849932 385.30150068] ; [43.30150068 71.69849932],1
18,s7,1,1.5e-05,18.758374,[300 294] ; [29 76],[279.57939914 314.42060086] ; [49.42060086 55.57939914],1
15,s2,1,1.6e-05,18.579168,[317 295] ; [34 80],[295.88429752 316.11570248] ; [55.11570248 58.88429752],1
16,s5,1,4.2e-05,16.782882,[210 389] ; [17 94],[191.51126761 407.48873239] ; [35.48873239 75.51126761],1
21,p3,1,9.9e-05,15.163947,[333 283] ; [39 75],[313.90684932 302.09315068] ; [58.09315068 55.90684932],1
14,s1,1,0.000149,14.381038,[ 15 596] ; [ 11 103],[ 21.91172414 589.08827586] ; [  4.08827586 109.91172414],1
1,a5,1,0.000163,14.218153,[470 148] ; [68 47],[453.59345157 164.40654843] ; [84.40654843 30.59345157],1
3,d4,1,0.00079,11.265492,[509 107] ; [78 35],[496.01097394 119.98902606] ; [90.98902606 22.01097394],1
2,d1,1,0.000855,11.118243,[367 251] ; [49 66],[350.73396999 267.26603001] ; [65.26603001 49.73396999],1
