,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
20,p9,1,0.0,104.596033,[207  45] ; [30 82],[164.07692308  87.92307692] ; [72.92307692 39.07692308],1
14,p2,1,0.0,46.857008,[208  44] ; [55 60],[180.58855586  71.41144414] ; [82.41144414 32.58855586],1
18,p7,1,0.0,42.625462,[180  70] ; [41 73],[151.78571429  98.21428571] ; [69.21428571 44.78571429],1
19,p8,1,0.0,41.733164,[149 101] ; [26 87],[120.52341598 129.47658402] ; [54.47658402 58.52341598],1
5,r3,1,0.0,36.609003,[240  14] ; [82 32],[222.25  31.75] ; [99.75 14.25],1
6,r4,1,0.0,34.796918,[223  33] ; [69 46],[201.48787062  54.51212938] ; [90.51212938 24.48787062],1
13,s8,1,0.0,31.550366,[118 135] ; [18 95],[ 94.01092896 158.98907104] ; [41.98907104 71.01092896],1
3,v4,1,0.0,27.259796,[238  16] ; [84 29],[222.85558583  31.14441417] ; [99.14441417 13.85558583],1
9,n6,1,0.0,25.592193,[204  52] ; [61 52],[183.84823848  72.15176152] ; [81.15176152 31.84823848],1
17,p6,1,1e-06,24.710714,[105 144] ; [17 94],[ 84.38333333 164.61666667] ; [37.61666667 73.38333333],1
16,p4,1,1e-06,24.612318,[162  92] ; [41 73],[140.11413043 113.88586957] ; [62.88586957 51.11413043],1
8,n5,1,2e-06,23.115268,[203  53] ; [62 51],[183.84823848  72.15176152] ; [81.15176152 31.84823848],1
7,n4,1,4e-06,21.398033,[208  48] ; [66 47],[190.09214092  65.90785908] ; [83.90785908 29.09214092],1
15,p3,1,3.1e-05,17.356915,[146 107] ; [39 75],[127.53405995 125.46594005] ; [57.46594005 56.53405995],1
4,r1,1,7.5e-05,15.671083,[200  55] ; [66 47],[184.32065217  70.67934783] ; [81.67934783 31.32065217],1
1,v1,1,8.7e-05,15.397212,[136 113] ; [37 77],[118.66942149 130.33057851] ; [54.33057851 59.66942149],1
2,v2,1,0.000351,12.775249,[132 111] ; [38 74],[116.36619718 126.63380282] ; [53.63380282 58.36619718],1
0,a5,1,0.000441,12.351124,[197  59] ; [68 47],[182.85714286  73.14285714] ; [82.14285714 32.85714286],1
10,s2,1,0.000459,12.273533,[125 128] ; [34 80],[109.61035422 143.38964578] ; [49.38964578 64.61035422],1
12,s7,1,0.000476,12.208496,[116 127] ; [29 76],[101.25 141.75] ; [43.75 61.25],1
11,s6,1,0.00057,11.871017,[155  92] ; [49 64],[139.96666667 107.03333333] ; [64.03333333 48.96666667],1
