,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p7,1,5e-06,20.850212,[27 25] ; [19 91],[14.7654321 37.2345679] ; [31.2345679 78.7654321],1
2,p8,1,1.8e-05,18.415918,[21 31] ; [ 13 101],[10.65060241 41.34939759] ; [23.34939759 90.65060241],1
0,p6,1,4.2e-05,16.779357,[18 34] ; [ 10 103],[ 8.82424242 43.17575758] ; [19.17575758 93.82424242],1
