,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
12,p9,1,0.0,213.308741,[457  17] ; [44 59],[411.56672444  62.43327556] ; [89.43327556 13.56672444],1
4,n5,1,6e-06,20.547175,[358 113] ; [58 49],[338.98961938 132.01038062] ; [77.01038062 29.98961938],1
5,n6,1,9e-06,19.79823,[420  51] ; [77 29],[405.69670711  65.30329289] ; [91.30329289 14.69670711],1
7,s6,1,1.7e-05,18.469901,[327 140] ; [51 55],[308.07329843 158.92670157] ; [69.92670157 36.07329843],1
10,p4,1,3.5e-05,17.114475,[284 187] ; [41 66],[264.83564014 206.16435986] ; [60.16435986 46.83564014],1
8,p2,1,6.9e-05,15.827749,[411  63] ; [76 31],[397.31153184  76.68846816] ; [89.68846816 17.31153184],1
9,p3,1,7.8e-05,15.60397,[228 246] ; [29 78],[209.66953528 264.33046472] ; [47.33046472 59.66953528],1
11,p8,1,9.6e-05,15.222345,[259 209] ; [36 69],[240.94240838 227.05759162] ; [54.05759162 50.94240838],1
3,v4,1,0.000204,13.789347,[457  14] ; [95 12],[449.81314879  21.18685121] ; [102.18685121   4.81314879],1
1,a7,1,0.000425,12.418471,[362 113] ; [63 43],[347.46127367 127.53872633] ; [77.53872633 28.46127367],1
0,a5,1,0.000451,12.310096,[348 127] ; [60 47],[332.98969072 142.01030928] ; [75.01030928 31.98969072],1
2,d5,1,0.000573,11.861134,[393  81] ; [73 34],[380.17900172  93.82099828] ; [85.82099828 21.17900172],1
6,s2,1,0.000615,11.729209,[244 227] ; [35 70],[228.140625 242.859375] ; [50.859375 54.140625],1
