,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,b2,1,4.6e-05,16.619303,[12  1] ; [17 39],[5.46376812 7.53623188] ; [23.53623188 32.46376812],1
1,b3,1,4.6e-05,16.619303,[12  1] ; [17 39],[5.46376812 7.53623188] ; [23.53623188 32.46376812],1
2,p5,1,0.000229,13.58072,[5 7] ; [  9 112],[ 1.26315789 10.73684211] ; [ 12.73684211 108.26315789],1
3,p12,1,0.000248,13.430688,[4 9] ; [  5 117],[ 0.86666667 12.13333333] ; [  8.13333333 113.86666667],1
