,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p2,1,0.000121,14.7767,[119  16] ; [31 18],[110.05434783  24.94565217] ; [39.94565217  9.05434783],1
2,p10,1,0.000218,13.671086,[109  24] ; [27 22],[99.38461538 33.61538462] ; [36.61538462 12.38461538],1
1,p9,1,0.000729,11.414367,[111  21] ; [29 19],[102.66666667  29.33333333] ; [37.33333333 10.66666667],1
