,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p8,1,0.0,59.390926,[39 68] ; [269  83],[71.79956427 35.20043573] ; [236.20043573 115.79956427],1
1,p6,1,0.0,47.816432,[23 84] ; [210 142],[54.31590414 52.68409586] ; [178.68409586 173.31590414],1
0,p2,1,0.000172,14.112675,[90 18] ; [332  19],[99.29411765  8.70588235] ; [322.70588235  28.29411765],1
