,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
17,p10,1,0.0,117.873225,[122 115] ; [618 104],[182.87799791  54.12200209] ; [557.12200209 164.87799791],1
16,p9,1,0.0,93.10153,[137  97] ; [631  91],[187.9832636  46.0167364] ; [580.0167364 141.9832636],1
5,r3,1,0.0,69.579685,[192  50] ; [701  28],[222.56024717  19.43975283] ; [670.43975283  58.56024717],1
11,p2,1,0.0,65.265579,[149  94] ; [620 105],[193.04442149  49.95557851] ; [575.95557851 149.04442149],1
9,n6,1,0.0,51.501199,[156  85] ; [624 103],[194.19421488  46.80578512] ; [585.80578512 141.19421488],1
15,p8,1,0.0,49.925994,[ 71 169] ; [401 316],[118.36990596 121.63009404] ; [353.63009404 363.36990596],1
6,r4,1,0.0,46.095204,[175  70] ; [656  78],[207.96220633  37.03779367] ; [623.03779367 110.96220633],1
3,v4,1,0.0,34.627923,[203  40] ; [692  35],[224.21134021  18.78865979] ; [670.78865979  56.21134021],1
14,p7,1,0.0,33.58158,[107 131] ; [469 240],[144.76029567  93.23970433] ; [431.23970433 277.76029567],1
7,n4,1,0.0,26.574267,[150  93] ; [574 158],[180.44307692  62.55692308] ; [543.55692308 188.44307692],1
13,p4,1,0.0,25.501217,[101 140] ; [439 286],[134.72049689 106.27950311] ; [405.27950311 319.72049689],1
0,b1,1,1e-06,24.324838,[129 116] ; [256 478],[ 96.34831461 148.65168539] ; [288.65168539 445.34831461],1
8,n5,1,1e-06,24.300688,[145  97] ; [554 172],[174.75  67.25] ; [524.25 201.75],1
12,p3,1,0.000127,14.690221,[ 87 155] ; [365 363],[112.76701031 129.23298969] ; [339.23298969 388.76701031],1
2,v2,1,0.000136,14.550192,[101 134] ; [404 301],[126.25 108.75] ; [378.75 326.25],1
1,v1,1,0.000309,13.013291,[ 99 144] ; [386 327],[123.2792887 119.7207113] ; [361.7207113 351.2792887],1
10,s8,1,0.000702,11.4852,[ 76 167] ; [317 410],[ 98.45257732 144.54742268] ; [294.54742268 432.45257732],1
4,r1,1,0.000828,11.17689,[167  76] ; [579 152],[186.11704312  56.88295688] ; [559.88295688 171.11704312],1
