,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
3,p8,1,0.0,28.264496,[42  5] ; [ 7 18],[31.98611111 15.01388889] ; [17.01388889  7.98611111],1
2,p6,1,7e-06,20.246289,[36 11] ; [ 5 19],[27.14084507 19.85915493] ; [13.85915493 10.14084507],1
1,p5,1,0.000642,11.651307,[25 22] ; [ 3 22],[18.27777778 28.72222222] ; [ 9.72222222 15.27777778],1
0,p3,1,0.000779,11.290357,[38  8] ; [11 14],[31.74647887 14.25352113] ; [17.25352113  7.74647887],1
