,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
21,p9,1,0.0,212.592701,[431  46] ; [32 83],[373.05912162 103.94087838] ; [89.94087838 25.05912162],1
16,p2,1,0.0,87.177034,[418  62] ; [57 61],[381.27090301  98.72909699] ; [93.72909699 24.27090301],1
5,r3,1,0.0,79.357414,[468  14] ; [85 32],[444.98497496  37.01502504] ; [108.01502504   8.98497496],1
9,n6,1,0.0,75.987436,[427  51] ; [64 52],[395.11447811  82.88552189] ; [95.88552189 20.11447811],1
6,r4,1,0.0,65.355186,[440  45] ; [72 46],[411.80762852  73.19237148] ; [100.19237148  17.80762852],1
2,v4,1,0.0,55.857818,[461  19] ; [87 29],[441.34228188  38.65771812] ; [106.65771812   9.34228188],1
20,p8,1,0.0,31.404534,[256 218] ; [29 87],[228.96610169 245.03389831] ; [56.03389831 59.96610169],1
19,p7,1,0.0,28.320997,[294 172] ; [42 75],[268.56946827 197.43053173] ; [67.43053173 49.56946827],1
15,s8,1,1e-06,25.257831,[204 277] ; [20 96],[180.47571189 300.52428811] ; [43.52428811 72.47571189],1
4,r2,1,1e-06,23.171811,[454  24] ; [94 21],[441.72681282  36.27318718] ; [106.27318718   8.72681282],1
1,v2,1,3e-06,22.163795,[277 191] ; [40 75],[254.46998285 213.53001715] ; [62.53001715 52.46998285],1
3,r1,1,5e-06,20.858719,[385  98] ; [69 47],[366.08013356 116.91986644] ; [87.91986644 28.08013356],1
13,s6,1,6e-06,20.455558,[321 155] ; [52 64],[299.91216216 176.08783784] ; [73.08783784 42.91216216],1
17,p4,1,3.1e-05,17.359648,[282 196] ; [44 73],[261.89579832 216.10420168] ; [64.10420168 52.89579832],1
0,v1,1,4.3e-05,16.738296,[256 214] ; [39 78],[236.20102215 233.79897785] ; [58.79897785 58.20102215],1
8,n5,1,4.9e-05,16.503201,[358 119] ; [65 51],[340.25463744 136.74536256] ; [82.74536256 33.25463744],1
12,s5,1,6e-05,16.094153,[160 308] ; [17 97],[142.32989691 325.67010309] ; [34.67010309 79.32989691],1
7,n4,1,0.000119,14.811231,[372 111] ; [69 47],[355.59766277 127.40233723] ; [85.40233723 30.59766277],1
10,s1,1,0.000566,11.883824,[ 12 463] ; [ 11 106],[ 18.45439189 456.54560811] ; [  4.54560811 112.45439189],1
14,s7,1,0.000594,11.795041,[223 243] ; [32 76],[207.02090592 258.97909408] ; [47.97909408 60.02090592],1
18,p6,1,0.000679,11.54668,[161 314] ; [20 94],[145.96774194 329.03225806] ; [35.03225806 78.96774194],1
11,s2,1,0.000856,11.115619,[233 245] ; [37 80],[216.90756303 261.09243697] ; [53.09243697 63.90756303],1
