,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
3,p7,1,0.0,33.622162,[ 44 110] ; [46 19],[63.28767123 90.71232877] ; [26.71232877 38.28767123],1
2,p6,1,2e-06,22.391329,[ 23 131] ; [28 34],[ 36.36111111 117.63888889] ; [14.63888889 47.36111111],1
1,p4,1,1.4e-05,18.899648,[ 45 111] ; [39 26],[59.29411765 96.70588235] ; [24.70588235 40.29411765],1
0,p2,1,0.000129,14.66141,[79 77] ; [51 14],[91.76470588 64.23529412] ; [38.23529412 26.76470588],1
