,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p7,1,5.3e-05,16.351643,[12 57] ; [40 42],[23.7615894 45.2384106] ; [28.2384106 53.7615894],1
2,p11,1,0.00011,14.957373,[24 47] ; [54 29],[35.96103896 35.03896104] ; [42.03896104 40.96103896],1
1,p8,1,0.000207,13.76836,[ 7 63] ; [29 52],[16.68874172 53.31125828] ; [19.31125828 61.68874172],1
