,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p9,1,0.0,89.455379,[32 83] ; [107  14],[67.73305085 47.26694915] ; [71.26694915 49.73305085],1
0,p2,1,1.9e-05,18.336483,[57 61] ; [91 30],[73.07112971 44.92887029] ; [74.92887029 46.07112971],1
1,p6,1,0.000564,11.890784,[20 94] ; [46 76],[31.88135593 82.11864407] ; [34.11864407 87.88135593],1
