,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p3,1,8.5e-05,15.44744,[197 183] ; [36 80],[178.50806452 201.49193548] ; [54.49193548 61.50806452],1
1,p7,1,0.000696,11.498798,[237 139] ; [51 62],[221.44785276 154.55214724] ; [66.55214724 46.44785276],1
2,p10,1,0.000985,10.855319,[271 106] ; [62 50],[256.73006135 120.26993865] ; [76.26993865 35.73006135],1
