,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p6,1,0.0,46.225874,[ 52 227] ; [164 209],[ 92.42944785 186.57055215] ; [123.57055215 249.42944785],1
2,p8,1,0.0,31.086761,[110 169] ; [231 145],[145.25038168 133.74961832] ; [195.74961832 180.25038168],1
1,p7,1,0.0,28.446838,[150 126] ; [279  96],[181.88018433  94.11981567] ; [247.11981567 127.88018433],1
