,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p3,1,0.0,48.796125,[325 362] ; [ 67 221],[276.20923077 410.79076923] ; [115.79076923 172.20923077],1
1,p6,1,0.0,26.599945,[241 437] ; [ 52 227],[207.5799373 470.4200627] ; [ 85.4200627 193.5799373],1
3,p8,1,0.000101,15.108733,[360 316] ; [110 169],[332.69109948 343.30890052] ; [137.30890052 141.69109948],1
2,p7,1,0.000659,11.601641,[445 228] ; [150 126],[421.95468915 251.04531085] ; [173.04531085 102.95468915],1
