,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p1,1,0.0,26.349539,[ 25 449] ; [14 45],[ 34.68292683 439.31707317] ; [ 4.31707317 54.68292683],1
2,p4,1,2.8e-05,17.551482,[306 169] ; [54  5],[320.2247191 154.7752809] ; [39.7752809 19.2247191],1
1,p3,1,0.000273,13.248221,[261 215] ; [47 12],[274.03364486 201.96635514] ; [33.96635514 25.03364486],1
