,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p3,1,0.0,60.591189,[52 98] ; [265 106],[91.26679463 58.73320537] ; [225.73320537 145.26679463],1
2,p6,1,0.0,49.238777,[ 35 110] ; [217 154],[70.81395349 74.18604651] ; [181.18604651 189.81395349],1
3,p8,1,0.0,28.938452,[76 71] ; [281  89],[101.50676983  45.49323017] ; [255.49323017 114.50676983],1
1,p5,1,1.3e-05,19.035946,[  6 144] ; [ 70 300],[ 21.92307692 128.07692308] ; [ 54.07692308 315.92307692],1
4,p10,1,0.000228,13.585516,[115  33] ; [332  37],[127.96131528  20.03868472] ; [319.03868472  49.96131528],1
