,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p7,1,9e-06,19.804988,[119  62] ; [221 256],[93.52583587 87.47416413] ; [246.47416413 230.52583587],1
1,p6,1,1e-05,19.552135,[ 71 109] ; [109 379],[ 48.50299401 131.49700599] ; [131.49700599 356.50299401],1
3,p8,1,0.00015,14.371103,[91 89] ; [167 318],[ 69.83458647 110.16541353] ; [188.16541353 296.83458647],1
0,p2,1,0.000617,11.724785,[156  26] ; [362 133],[139.25553914  42.74446086] ; [378.74446086 116.25553914],1
