,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
11,p9,1,0.0,85.482616,[693  45] ; [74 38],[665.93647059  72.06352941] ; [101.06352941  10.93647059],1
6,p2,1,0.0,34.373464,[629 107] ; [74 43],[606.57444314 129.42555686] ; [96.42555686 20.57444314],1
5,n6,1,1e-06,24.258274,[632 102] ; [78 37],[613.82803298 120.17196702] ; [96.17196702 18.82803298],1
4,n5,1,8e-06,20.045806,[571 164] ; [67 48],[551.68235294 183.31764706] ; [86.31764706 28.68235294],1
9,p7,1,1e-05,19.597506,[480 240] ; [51 62],[458.96758703 261.03241297] ; [72.03241297 40.96758703],1
3,n4,1,2.3e-05,17.944109,[577 163] ; [68 46],[558.89929742 181.10070258] ; [86.10070258 27.89929742],1
8,p4,1,2.5e-05,17.797596,[454 282] ; [47 68],[433.2972973 302.7027027] ; [67.7027027 47.2972973],1
7,p3,1,3.9e-05,16.900675,[380 357] ; [36 80],[359.42790152 377.57209848] ; [56.57209848 59.42790152],1
1,r3,1,4.5e-05,16.662248,[700  36] ; [98 17],[690.16216216  45.83783784] ; [107.83783784   7.16216216],1
0,v4,1,6.5e-05,15.938515,[701  33] ; [100  16],[691.68705882  42.31294118] ; [109.31294118   6.68705882],1
2,r4,1,0.000207,13.763502,[664  76] ; [91 26],[651.92532089  88.07467911] ; [103.07467911  13.92532089],1
10,p8,1,0.000322,12.940783,[405 326] ; [43 72],[387.10165485 343.89834515] ; [60.89834515 54.10165485],1
