,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p10,1,1.5e-05,18.79131,[632 107] ; [740 219],[597.11896349 141.88103651] ; [774.88103651 184.11896349],1
1,p9,1,5.2e-05,16.380868,[648  91] ; [768 188],[617.35929204 121.64070796] ; [798.64070796 157.35929204],1
0,r3,1,0.000267,13.290618,[717  28] ; [893  78],[698.98018648  46.01981352] ; [911.01981352  59.98018648],1
