,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p9,1,0.0,65.430004,[103   4] ; [14 25],[85.74657534 21.25342466] ; [31.25342466  7.74657534],1
1,p11,1,0.0,28.029719,[88 20] ; [14 25],[74.93877551 33.06122449] ; [27.06122449 11.93877551],1
