,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p6,1,0.0,25.636465,[185 152] ; [12 49],[166.80653266 170.19346734] ; [30.19346734 30.80653266],1
0,p3,1,7.5e-05,15.673256,[232 108] ; [25 35],[218.45 121.55] ; [38.55 21.45],1
1,p4,1,0.000332,12.882391,[268  72] ; [35 26],[256.90773067  83.09226933] ; [46.09226933 14.90773067],1
