,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
12,p9,1,0.0,95.971179,[399  13] ; [73 38],[371.82409178  40.17590822] ; [100.17590822  10.82409178],1
7,p2,1,0.0,43.337662,[366  46] ; [73 43],[342.5530303  69.4469697] ; [96.4469697 19.5530303],1
5,n6,1,0.0,38.945939,[371  38] ; [77 37],[350.34799235  58.65200765] ; [97.65200765 16.34799235],1
1,r3,1,0.0,28.582966,[402  10] ; [97 17],[390.85171103  21.14828897] ; [108.14828897   5.85171103],1
0,v4,1,1e-06,25.033947,[399  10] ; [99 16],[388.70610687  20.29389313] ; [109.29389313   5.70610687],1
2,r4,1,8e-06,19.953313,[381  32] ; [90 26],[367.71833648  45.28166352] ; [103.28166352  12.71833648],1
9,p4,1,1.6e-05,18.664479,[258 152] ; [46 68],[237.86259542 172.13740458] ; [66.13740458 47.86259542],1
4,n5,1,2.2e-05,18.011997,[318  91] ; [66 48],[300.29827916 108.70172084] ; [83.70172084 30.29827916],1
10,p7,1,3e-05,17.413975,[266 135] ; [50 62],[247.00974659 153.99025341] ; [68.99025341 43.00974659],1
3,n4,1,4.7e-05,16.57367,[324  89] ; [68 46],[307.20303605 105.79696395] ; [84.79696395 29.20303605],1
11,p8,1,0.000166,14.18273,[234 172] ; [43 71],[216.27307692 189.72692308] ; [60.72692308 53.27307692],1
8,p3,1,0.000222,13.635128,[209 203] ; [36 79],[191.5370019 220.4629981] ; [53.4629981 61.5370019],1
6,s6,1,0.000536,11.98691,[288 119] ; [61 53],[272.6353167 134.3646833] ; [76.3646833 37.6353167],1
