,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p6,1,0.000134,14.589294,[13 66] ; [17 16],[21.16071429 57.83928571] ; [ 8.83928571 24.16071429],1
0,p5,1,0.000329,12.896217,[ 2 74] ; [ 8 25],[ 6.97247706 69.02752294] ; [ 3.02752294 29.97247706],1
2,p7,1,0.000545,11.954529,[21 56] ; [20 12],[28.96330275 48.03669725] ; [12.03669725 19.96330275],1
