,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p4,1,1.7e-05,18.497749,[25 72] ; [28 16],[36.46099291 60.53900709] ; [16.53900709 27.46099291],1
1,p7,1,0.000293,13.112948,[28 68] ; [27 17],[37.71428571 58.28571429] ; [17.28571429 26.71428571],1
2,p8,1,0.000548,11.945942,[17 79] ; [20 24],[25.37142857 70.62857143] ; [11.62857143 32.37142857],1
