,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p4,1,1.2e-05,19.107466,[184 159] ; [41  6],[197.88461538 145.11538462] ; [27.11538462 19.88461538],1
2,p8,1,0.000119,14.805371,[151 188] ; [35 12],[163.35233161 175.64766839] ; [22.64766839 24.35233161],1
0,p1,1,0.000486,12.170199,[ 25 316] ; [11 37],[ 31.55784062 309.44215938] ; [ 4.44215938 43.55784062],1
