,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p10,1,0.0,61.25622,[ 9 56] ; [64 17],[32.5 32.5] ; [40.5 40.5],1
0,p2,1,3e-06,22.010843,[22 44] ; [59 23],[36.12162162 29.87837838] ; [44.87837838 37.12162162],1
