,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p8,1,0.0,44.780992,[63 48] ; [ 19 106],[38.56779661 72.43220339] ; [43.43220339 81.56779661],1
0,p2,1,0.0,26.517141,[95 18] ; [66 59],[76.44117647 36.55882353] ; [84.55882353 40.44117647],1
3,p11,1,0.000266,13.298927,[83 30] ; [63 62],[69.31932773 43.68067227] ; [76.68067227 48.31932773],1
1,p3,1,0.000458,12.280978,[59 54] ; [37 87],[45.7721519 67.2278481] ; [50.2278481 73.7721519],1
