,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p8,1,3.8e-05,16.987485,[298 232] ; [39 73],[278.20872274 251.79127726] ; [58.79127726 53.20872274],1
1,p2,1,0.000275,13.234132,[470  67] ; [83 29],[457.56702619  79.43297381] ; [95.43297381 16.56702619],1
0,b1,1,0.000761,11.333035,[179 360] ; [56 56],[194.56989247 344.43010753] ; [40.43010753 71.56989247],1
