,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
7,s8,1,0.0,28.215003,[12  1] ; [12 54],[3.94936709 9.05063291] ; [20.05063291 45.94936709],1
9,p8,1,5.7e-05,16.195943,[9 4] ; [11 56],[3.25 9.75] ; [16.75 50.25],1
10,p12,1,5.8e-05,16.175164,[4 9] ; [ 1 67],[ 0.80246914 12.19753086] ; [ 4.19753086 63.80246914],1
8,p5,1,8.4e-05,15.46554,[5 7] ; [ 3 64],[ 1.21518987 10.78481013] ; [ 6.78481013 60.21518987],1
0,b2,1,0.000119,14.801168,[12  1] ; [14 30],[5.92982456 7.07017544] ; [20.07017544 23.92982456],1
1,b3,1,0.000119,14.801168,[12  1] ; [14 30],[5.92982456 7.07017544] ; [20.07017544 23.92982456],1
3,v3,1,0.000157,14.285714,[8 1] ; [16 47],[3. 6.] ; [21. 42.],1
4,s2,1,0.000208,13.757858,[11  2] ; [20 47],[5.0375 7.9625] ; [25.9625 41.0375],1
2,v1,1,0.000214,13.702066,[9 1] ; [20 48],[3.71794872 6.28205128] ; [25.28205128 42.71794872],1
6,s7,1,0.000317,12.964831,[11  2] ; [18 41],[5.23611111 7.76388889] ; [23.76388889 35.23611111],1
5,s3,1,0.000596,11.787448,[12  1] ; [27 40],[6.3375 6.6625] ; [32.6625 34.3375],1
