,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p6,1,0.0,29.980716,[ 10 106] ; [34 48],[25.77777778 90.22222222] ; [18.22222222 63.77777778],1
0,p2,1,0.000441,12.351941,[58 59] ; [61 21],[69.96482412 47.03517588] ; [49.03517588 32.96482412],1
