,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p4,1,0.0,89.860337,[ 67 183] ; [109  34],[111.95928753 138.04071247] ; [64.04071247 78.95928753],1
1,p7,1,0.0,28.924432,[ 94 150] ; [95 47],[119.47150259 124.52849741] ; [69.52849741 72.47150259],1
2,p8,1,1e-06,23.198933,[ 82 166] ; [83 60],[104.65473146 143.34526854] ; [60.34526854 82.65473146],1
