,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p6,1,0.0,26.825562,[15 64] ; [174 166],[35.63484487 43.36515513] ; [153.36515513 186.63484487],1
0,p3,1,7e-06,20.192992,[30 49] ; [225 119],[47.62411348 31.37588652] ; [207.37588652 136.62411348],1
3,p11,1,1.3e-05,19.054468,[54 26] ; [301  43],[66.98113208 13.01886792] ; [288.01886792  55.98113208],1
1,p4,1,1.7e-05,18.44612,[42 38] ; [263  81],[57.54716981 22.45283019] ; [247.45283019  96.54716981],1
