,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p8,1,0.0,27.545946,[66 12] ; [ 8 18],[55.5 22.5] ; [18.5  7.5],1
2,p9,1,3e-06,21.838702,[74  4] ; [15 11],[66.75 11.25] ; [22.25  3.75],1
0,p6,1,0.000179,14.037099,[53 24] ; [ 7 19],[44.85436893 32.14563107] ; [15.14563107 10.85436893],1
4,p11,1,0.000313,12.990392,[68 10] ; [14 12],[61.5 16.5] ; [20.5  5.5],1
3,p10,1,0.000714,11.451685,[72  6] ; [17  9],[66.75 11.25] ; [22.25  3.75],1
