,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p8,1,0.0,55.643758,[28 53] ; [238  68],[55.6744186 25.3255814] ; [210.3255814  95.6744186],1
1,p6,1,0.0,34.229765,[17 64] ; [175 129],[40.39480519 40.60519481] ; [151.60519481 152.39480519],1
0,p2,1,1.4e-05,18.921782,[62 19] ; [284  21],[72.60621762  8.39378238] ; [273.39378238  31.60621762],1
