,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p6,1,0.0,33.418402,[ 36 194] ; [61 82],[ 59.81233244 170.18766756] ; [ 37.18766756 105.81233244],1
1,p7,1,0.0,26.392251,[ 89 132] ; [97 46],[112.92857143 108.07142857] ; [73.07142857 69.92857143],1
2,p8,1,0.000312,12.998409,[ 75 153] ; [74 69],[ 91.56873315 136.43126685] ; [57.43126685 85.56873315],1
