,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p7,1,0.0,39.097132,[ 60 116] ; [72 26],[84.78832117 91.21167883] ; [47.21167883 50.78832117],1
0,p2,1,7e-05,15.807085,[123  57] ; [92 11],[136.74911661  43.25088339] ; [78.25088339 24.74911661],1
1,p3,1,0.000652,11.620268,[ 29 151] ; [35 69],[ 40.56338028 139.43661972] ; [23.43661972 80.56338028],1
