,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p2,1,6e-06,20.624266,[262  27] ; [63 25],[249.13793103  39.86206897] ; [75.86206897 12.13793103],1
1,p6,1,6.9e-05,15.832629,[143 146] ; [21 63],[127.06702413 161.93297587] ; [36.93297587 47.06702413],1
2,p8,1,0.000283,13.178627,[192  97] ; [39 48],[177.55053191 111.44946809] ; [53.44946809 33.55053191],1
