,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p1,1,0.0,35.754603,[ 26 298] ; [26 52],[ 41.91044776 282.08955224] ; [10.08955224 67.91044776],1
3,p12,1,0.0,32.477752,[ 24 299] ; [24 54],[ 38.66334165 284.33665835] ; [ 9.33665835 68.66334165],1
1,p6,1,0.000256,13.369644,[146 174] ; [53 24],[160.40302267 159.59697733] ; [38.59697733 38.40302267],1
2,p8,1,0.000675,11.557371,[209 114] ; [66 12],[221.50872818 101.49127182] ; [53.49127182 24.50872818],1
