,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p7,1,3e-06,21.731086,[300 105] ; [20 28],[286.09271523 118.90728477] ; [33.90728477 14.09271523],1
2,p10,1,7.9e-05,15.592181,[345  58] ; [31 18],[335.23893805  67.76106195] ; [40.76106195  8.23893805],1
1,p9,1,0.000184,13.983096,[354  51] ; [33 16],[345.23127753  59.76872247] ; [41.76872247  7.23127753],1
