,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p7,1,6.5e-05,15.960552,[15 30] ; [30  9],[24.10714286 20.89285714] ; [20.89285714 18.10714286],1
0,p6,1,0.000377,12.64349,[ 9 36] ; [22 16],[16.80722892 28.19277108] ; [14.19277108 23.80722892],1
