,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
23,p9,1,0.0,315.997426,[600  31] ; [32 75],[540.36856369  90.63143631] ; [91.63143631 15.36856369],1
19,p2,1,0.0,76.134503,[550  79] ; [59 52],[517.65 111.35] ; [91.35 19.65],1
11,r3,1,0.0,68.632203,[609  19] ; [85 26],[589.75913396  38.24086604] ; [104.24086604   6.75913396],1
14,n6,1,0.0,61.00128,[554  74] ; [65 46],[526.02435724 101.97564276] ; [92.97564276 18.02435724],1
12,r4,1,0.0,60.967221,[578  54] ; [72 39],[552.89367429  79.10632571] ; [97.10632571 13.89367429],1
8,v4,1,0.0,43.344974,[602  23] ; [88 22],[586.73469388  38.26530612] ; [103.26530612   6.73469388],1
22,p8,1,0.0,38.011322,[370 253] ; [30 79],[340.43715847 282.56284153] ; [59.56284153 49.43715847],1
13,n5,1,0.0,34.666975,[506 122] ; [61 50],[481.83491204 146.16508796] ; [85.16508796 25.83491204],1
21,p7,1,0.0,26.303601,[424 191] ; [48 62],[400.3862069 214.6137931] ; [71.6137931 38.3862069],1
20,p4,1,1e-06,24.906313,[407 222] ; [44 67],[383.35 245.65] ; [67.65 43.35],1
10,r2,1,1e-06,24.119042,[589  35] ; [89 21],[576.39237057  47.60762943] ; [101.60762943   8.39237057],1
18,s8,1,8e-06,19.911854,[296 332] ; [26 82],[274.75 353.25] ; [47.25 60.75],1
9,r1,1,1.7e-05,18.517152,[506 122] ; [69 42],[488.63328823 139.36671177] ; [86.36671177 24.63328823],1
3,a7,1,2.4e-05,17.837969,[461 170] ; [59 52],[442.21024259 188.78975741] ; [77.78975741 33.21024259],1
1,a5,1,3.5e-05,17.121708,[483 149] ; [64 47],[465.28129206 166.71870794] ; [81.71870794 29.28129206],1
6,v1,1,4.4e-05,16.68377,[348 262] ; [40 71],[328.26629681 281.73370319] ; [59.73370319 51.26629681],1
7,v2,1,4.5e-05,16.654009,[356 246] ; [41 67],[336.61126761 265.38873239] ; [60.38873239 47.61126761],1
2,a6,1,4.5e-05,16.64687,[440 190] ; [55 55],[421.41891892 208.58108108] ; [73.58108108 36.41891892],1
16,s6,1,5e-05,16.447162,[427 191] ; [53 55],[408.59504132 209.40495868] ; [71.40495868 36.59504132],1
17,s7,1,8.8e-05,15.388319,[311 297] ; [30 70],[292.83615819 315.16384181] ; [48.16384181 51.83615819],1
0,a3,1,0.000138,14.535267,[460 171] ; [61 50],[443.0606469 187.9393531] ; [77.9393531 33.0606469],1
15,s2,1,0.000267,13.286019,[328 297] ; [37 73],[310.37414966 314.62585034] ; [54.62585034 55.37414966],1
5,d3,1,0.000597,11.784618,[438 193] ; [58 52],[422.36977058 208.63022942] ; [73.63022942 36.36977058],1
4,d1,1,0.000901,11.020245,[380 252] ; [48 63],[364.05921938 267.94078062] ; [63.94078062 47.05921938],1
