,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p6,1,1e-06,23.956796,[185 154] ; [15 53],[166.58476658 172.41523342] ; [33.41523342 34.58476658],1
0,p3,1,8e-06,19.994004,[238 101] ; [28 39],[222.10344828 116.89655172] ; [43.89655172 23.10344828],1
1,p4,1,0.000114,14.88974,[269  70] ; [39 29],[256.54054054  82.45945946] ; [51.45945946 16.54054054],1
